year,upperwateruse,lowerwateruse,mexico,reservoir_evaporation
1971,3018,6564,1500,1707
1972,3093,6515,1500,1741
1973,2915,6680,1500,1905
1974,3259,6835,1500,1967
1975,3072,6414,1500,1995
1976,2970,6028,1500,1979
1977,2431,6401,1500,1890
1978,3304,5809,1500,1920
1979,3267,6028,1700,2060
1980,3203,6040,1700,2176
1981,3234,6314,1700,2149
1982,3262,5642,1500,2178
1983,3107,5394,1700,2318
1984,3025,5888,1700,2274
1985,3310,6075,1700,2266
1986,3217,6273,1700,2241
1987,3309,6735,1700,2245
1988,3737,7092,1700,2203
1989,3823,7530,1500,2100
1990,3604,7657,1500,1969
1991,3661,7050,1500,1918
1992,3815,6630,1500,1901
1993,3527,7286,1500,2038
1994,4028,7360,1500,2028
1995,3167,7082,1500,2077
1996,3616,8028,1500,2147
1997,3376,8101,1700,2216
1998,3462,7621,1700,2283
1999,3281,7977,1700,2266
2000,3722,8026,1700,2191
2001,3979,8171,1500,2076
2002,3559,8430,1500,1846
2003,3571,7538,1500,1696
2004,3325,7384,1500,1585
2005,3403,7065,1500,1666
2006,3437,7411,1500,1690
2007,3623,7454,1500,1664
2008,3788,7586,1500,1683
